"SongName","ArtistName","AlbumName"
"Shake That Ft. Nate Dogg","Eminem","Curtain Call: The Hits"
"Nothing at All (instrumental)","Rob Dougan","Furious Angels"
"Addicted [Explicit]","Saving Abel","Saving Abel"
"Chrono Cross Another Inspiration OC ReMix","Scott Peeples","Unknown Album"
"The Longer I Run","Peter Bradley Adams","Leavetaking"
"Right Now (Na Na Na)","Akon","Freedom"
"Rock It","Sub Focus","Sub Focus"
"Stupid in Love","Rihanna","Rated R"
"Patiently Waiting (feat. Eminem)","50 Cent","Get Rich or Die Tryin’"
"Fall for You","Secondhand Serenade","A Twist in My Story"
"Heart of a Lion (Kid Cudi Theme Music)","Kid Cudi","Man on the Moon: The End of Day"
"Secret of Mana Tidal Sequence OC ReMix","djpretzel","http://www.ocremix.org"
"Hate That I Love You (Rihanna","Boyce Avenue","Youtube Sessions "
"How to Be Eaten by a Woman","The Glitch Mob","Drink the Sea"
"Coming Home (Ft. Skylar Grey)","Diddy - Dirty Money","Coming Home"
"Echo","Bad Meets Evil","Hell: The Sequel"
"Not Your Birthday","Allstar Weekend","Not Your Birthday"
"Chaoz Airflow","Paragonx9","unspecified"
"Redemption","Zack Hemsey","The Way"
"Bad Wings","The Glitch Mob","Drink the Sea"
"Fortune Days","The Glitch Mob","Drink the Sea"
"300 Violins Rap Mix","300 Violin Orchestra ft. Eminem & Fort Minor","N/A"
"Up Is Down","Hans Zimmer","Pirates of the Caribbean: At World’s End"
"She's So High","Tal Bachman","Tal Bachman"
"Like a Prayer","Straight No Chaser","Six Pack: Volume 2"
"Soldiers","Otherwise","Single"
"To Galaxy","Neil Davidge","Halo 4"
"Hall of Fame (feat. will.i.am)","The Script","#3"
"In the End","Black Veil Brides","Wretched and Divine: The Story of the Wild Ones"
"Above the Law","Bad Meets Evil","Hell: The Sequel"
"Cinderella Man [Explicit]","Eminem","Recovery"
"The Phoenix","Fall Out Boy","Save Rock and Roll"
"刀劍神域_Swordland","刀劍神域_Swordland","刀劍神域_Swordland"
"Lego House","Ed Sheeran ","+"
"We Own It Feat. Wiz Khalifa","2 Chainz","Fast & Furious"
"Find You There","We The Kings","Find You There"
"Never Forget (Midnight Version)","Niel Davidge & Kazuma Jinnouchi","Halo 4: Original Soundtrack, Volume 2"
"Flight","Tristam & Braken","Monstercat 012 - Aftermath"
"TRIPPY","MAYHEM x ANTISERUM","TRAP MUSIC 7"
"Beautiful","eminem","beautiful"
"what makes you beautiful","One Direction","What Makes You Beautiful"
"Sky Titans","Two Steps From Hell","Classics, Vol. 1"
"Mark_Petrie_-Golden_Era_New_Track_-","Mark_Petrie_-Golden_Era_New_Track_-","Mark_Petrie_-"
"Best of 2013 Pop Mash-Up","Anthem Lights","Covers"
"Justin Timberlake Mash-Up","Anthem Lights","Covers"
"This I Promise You","Anthem Lights","Covers"
"Silver Sun (Lights Anthem)","Va - www.musicasparabaixar.org","Absolute Dance Winter 2014 - www.musicasparabaixar.org"
"Rap God","Eninem","Slap Box"
"I See Fire","Ed Sheetan","I See Fire"
"Shatter Me (feat. Lzzy Hale)","Lindsey Stirling","Shatter Me"
"Roundtable Rival","Lindsey Stirling","Shatter Me"
"Beneath Your Beautiful","Tiffany Alvord & Chester See","Labrinth Cover"
"Assassin's Creed Theme","Lindsey Stirling","Assassin's Creed Theme - Single"
"Blackheart","Two Steps From Hell","SkyWorld"
"Try","Colbie Caillat","Gypsy Heart (Side A)"
"One Life (Collab version)","Boyce Avenue","Single"
"If I Lose Myself","One Republic","Nature"
"Top Of the World","Anthem Lights","na"
"Love You Like the Movies","Anthem Lights | inspiradosxCristo.com","Escape"
"One Republic Mash-Up","Anthem Lights","Covers III"
"Give Me Love","Ed Sheeran ","Pop Non Stop"
"Thinking Out Loud","Ed Sheeran ","x"
"Club Song","Lap Dance","2014 Movie"
"Blank Space Cover (Taylor Swift) ","Our Last Night","Our Last Night"
